PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2014-1-1,63,42,24,14,9,5,48,32,15,30.31,30.25,30.19,,,,7,2,,0.00,0,,203
2014-1-2,66,47,28,22,19,16,58,36,19,30.29,30.19,30.11,10,10,10,9,2,,0.00,0,,135
2014-1-3,64,46,28,24,21,15,61,40,22,30.14,30.04,29.96,,,,9,3,,0.00,0,,205
2014-1-4,66,47,28,25,21,16,61,42,20,30.14,30.02,29.93,,,,9,4,,0.00,0,,148
2014-1-5,61,44,26,18,7,-1,56,30,9,30.34,30.27,30.15,,,,10,4,,0.00,0,,195
2014-1-6,57,40,23,7,3,-1,37,24,11,30.45,30.34,30.22,10,10,10,9,4,,0.00,3,,254
2014-1-7,57,44,30,10,7,5,37,26,14,30.24,30.15,30.09,10,10,10,9,4,,0.00,4,,211
2014-1-8,60,40,21,11,8,3,46,29,14,30.21,30.11,30.05,10,10,10,12,5,,0.00,3,,226
2014-1-9,57,42,27,19,14,8,52,36,20,30.14,30.08,30.01,10,10,10,9,4,,0.00,3,,241
2014-1-10,63,44,26,25,20,14,66,42,21,30.22,30.16,30.09,10,10,10,6,3,,0.00,3,,204
2014-1-11,64,47,30,29,25,17,67,38,22,30.23,30.08,29.94,10,10,10,23,6,37,0.00,0,,235
2014-1-12,63,50,35,29,22,17,49,33,18,30.37,30.15,29.92,10,10,10,15,8,18,0.00,0,,169
2014-1-13,64,46,28,16,14,11,51,31,14,30.53,30.44,30.36,10,10,10,10,4,,0.00,0,,159
2014-1-14,70,50,30,15,10,7,47,25,9,30.54,30.45,30.38,10,10,10,13,6,,0.00,0,,148
2014-1-15,70,50,30,12,8,4,34,21,9,30.46,30.37,30.29,10,10,10,12,6,,0.00,0,,177
2014-1-16,72,50,27,10,3,-1,39,20,6,30.35,30.28,30.22,10,10,10,12,5,,0.00,0,,167
2014-1-17,71,50,28,7,3,1,31,18,7,30.31,30.23,30.16,10,10,10,12,5,,0.00,0,,203
2014-1-18,69,48,28,9,4,-1,31,19,8,30.29,30.20,30.14,10,10,10,10,3,,0.00,0,,189
2014-1-19,69,48,27,8,5,1,33,20,9,30.26,30.19,30.12,10,10,10,12,4,,0.00,0,,223
2014-1-20,68,49,30,10,6,3,35,22,10,30.32,30.25,30.18,10,10,10,10,3,,0.00,0,,184
2014-1-21,62,45,28,11,8,4,36,23,13,30.35,30.27,30.18,10,10,10,8,3,,0.00,5,,251
2014-1-22,70,52,34,11,9,4,36,22,10,30.17,30.04,29.93,10,10,10,9,3,,0.00,2,,214
2014-1-23,66,46,27,17,10,3,36,23,12,30.22,30.09,29.95,10,10,10,14,6,22,0.00,3,,127
2014-1-24,66,54,41,19,16,15,36,24,15,30.38,30.31,30.25,10,10,10,12,4,,0.00,5,,141
2014-1-25,68,54,39,17,15,11,36,24,12,30.30,30.23,30.15,10,10,10,9,5,,0.00,0,,177
2014-1-26,63,48,33,19,14,11,42,28,16,30.18,30.09,30.02,10,10,10,9,3,,0.00,1,,221
2014-1-27,71,50,28,19,15,12,49,28,11,30.12,30.07,30.01,10,10,10,8,3,,0.00,3,,165
2014-1-28,71,52,34,20,17,14,44,29,13,30.19,30.13,30.08,10,10,10,9,2,,0.00,4,,281
2014-1-29,72,54,35,34,22,15,50,29,15,30.16,30.00,29.77,10,10,10,24,5,36,0.00,4,,221
2014-1-30,66,60,52,42,36,24,59,43,25,29.78,29.72,29.66,10,10,10,26,20,37,0.00,3,,213
2014-1-31,59,52,42,35,28,18,63,42,28,29.96,29.82,29.72,10,10,10,22,14,30,0.00,1,Rain,262
